Correct, Wrong
stay, pstay	stlay	mstay	sbay	stah	stafy	satay	stzy	rtay
motor, motoru
tally, tallc	xtally	tllly	txally	talwy	tbally	trally	tjlly	tually	tallyf
katai, kbtai	kataa	qatai	kataij	kacai	kagai
tamasha, jamasha	pamasha	tramasha
karay, kcaray	kjaray	karaq	kvray	karayu
tanasub, tanasuj	tanansub	tdnasub	jtanasub	tanasuyb	tanausub
yaa, yaxa	yaae	yaab	oyaa	yaea	xyaa
students, studefts	studcents	sthdents	studenps	spudents	seudents	studenats
tell, tellp
nikaalte, nikaalten	nikqalte	nikaavlte	nikdalte	nikxaalte	nickaalte	nikaaltef	niiaalte
usme, usmew	usae	osme	usmwe	uvme	usxe	uosme	lsme
issue, issuse
namaloom, namalcoom	namalxom	nvmaloom	namkloom	namayoom	nammloom	namaqoom
jhaad, jzaad	jhxad	jhbad	jhiaad	qhaad	jaad	jfhaad
phle, phlef	pnle	phlu	phee	phlem	mhle
tan, tjan	tac	tqn	tabn
lamha, lamhai	hamha	lamhf	lamhz
karoge, kaioge	kvaroge	karvge	karogc	karogei	kayroge	karzge
gadha, gkdha	gadma	gadea	gmdha	gadhoa	fgadha	nadha	gadka	gadrha	gabha
result, zresult	rcesult	aresult
hamaqat, hamaqats	hpamaqat	bamaqat
behen, zbehen	behesn	beaen	behenf	behben	bpehen
dhassa, dhassv	dhasosa	zhassa	dhasoa	dhassqa	whassa
tanha, tanhna	tansa	tanva	tanzha	aanha	tapnha	tfnha	tdnha	tanlha
bore, bovre	broe	boreh	borhe	bope	bmore	dbore
harma, harmva	marma	yarma	harqma	harmar	harmka	harmaa
afiz, afizg
darmain, darmtain	armain	darumain	darmbain	drmain	darmaimn
aawazian, aarwazian	aawqazian	jawazian
bhae, yhae	bxhae	nhae	bkhae
chocky, ghocky	chokcy	chpcky	chodcky	chockdy
sha, dsha	sfha	smha	gsha	xsha	shka	qha
sochnay, sochniy	socnnay	sodhnay
brain, bfrain	brein	brlin	bqrain
jisko, jisxko	jitsko	jiskb	jisjko	jxisko	rjisko	vjisko	jirsko	jcsko
payi, payit	payd	pajyi
minister, minisuter	mhinister	mminister	mirister	minoster	ministkr	xinister
wese, weshe	ywese	wvse
bech, beqch	becxh
bache, lache	bachqe	bachge	bachwe	blache	bachie
paiti, paikti	paiqi	papiti	gpaiti	pjaiti
shirt, schirt	shirnt	shiort	szhirt	shivt	shitt
amma, ammm	pmma	ambma	ammaw
takhat, ttakhat	akhat	takhzat	takvat	thkhat	trkhat	takjat
tosee, tysee	toksee	ttosee	tosoee	dosee	tosec	tosev
dusro, dmusro	dnusro	dufsro	dusrm	dusrov	dysro
anday, andyy	andayy	nnday	andaj	vnday	anuay	andzay	andby
ime, imh	ipme	eime	impe	zime
utre, autre	mutre
chaiko, choiko	chbaiko	ciaiko	chhaiko	chziko
mom, moml	mov	mop	momh	amom
bhag, bjhag	bhas	bhfg	bhaf	bhadg	gbhag
umhare, jmhare	umharea	uzhare	unhare
harry, hawrry	harqy	harzry	harrny	haprry	tharry	parry	harryj
ameeen, ameten	amexeen	ameeeg	yameeen	ameeenp	aieeen	ameejn	amyeen	aheeen
khanaay, ohanaay	khanaaxy	khaonaay	kshanaay	kfanaay	khahnaay	kxhanaay	khanaayh	khaenaay	khanaayw
daalnay, daalnai	daalnayd	daafnay
mjhe, mjlhe	mljhe	mjhbe	mjhek	mjhu	mwhe	fjhe
ue, iue	uie	xue	u	e
shehzadi, nhehzadi	kshehzadi	sheczadi	sheqzadi	shelhzadi	shohzadi	shkehzadi
pamaal, pmmaal	pamaqal	pafmaal	pamsal	pamaalw
btao, btdao	itao	btaj	btoa	btaox	bttao
afsana, afscana	afsoana	afsanca	afsanb	yafsana	pfsana	pafsana	afsanat	asana
takhweef, takhweesf	takhweoef
pajama, pajzama	pajaxma	pajamka	pajatma	panjama	apjama	pajpama	pajamp	pujama
fehmi, fehqi	fehbmi	wfehmi	fehms	fefhmi	fehhi	fehmf	feehmi
samait, samaeit	samayit	sxamait	seamait	samaiht	samaiti	iamait	qsamait	samant	sqamait
shot, ssot	shozt
musattah, musalttah	musattahe
zurori, zulrori	qurori	zurorni	zcrori	zurosi	izurori	zurorsi
ubhaar, ubbaar	dbhaar	ubdaar	ubhdaar	udbhaar	ubhacar
final, finas	filnal
humara, huimara	hurmara	hkmara	ehumara	humada
ustralia, uctralia	ustralya
eer, keer	eeqr	eetr	eeir	eeur	eaer	eei	eqer
hartaal, haryaal	hartakl
driving, drijving	drivng	drhiving
aadhi, aauhi	daadhi	tadhi	aasdhi	ajadhi	aadhl	aaodhi	aadhui
click, dclick
kitney, kioney	kitvney	kitnjey	kixney	kifney	kwtney	jitney
pyare, wyare	pyarue	pjare	poyare
bhanwar, bhanjwar
tana, tanua	tabna
khtama, khtamh	ekhtama	khtata	khtawma	knhtama	khtamaq	kctama
cant, cavnt	canz	cana	clnt	cantz	cmant	caht	cnat	ctnt	cants
tabsaray, tacbsaray	trbsaray	tabsarway	zabsaray	tabsacray
sanjeedgi, jsanjeedgi	sanseedgi
del, delv	dzel	dej	dgel	dml	djl
ekho, ekto	ewho	ekio	ekhko	ekhwo	ekhfo
stand, smtand	stanod	sfand	sutand	sqtand	stadnd	ssand	stapd	stahnd
apan, qapan
reyaston, hreyaston	reyagston	reyastonz	reymaston	remaston
online, oonline	okline	onlrne	onligne	onlinec	onlire	odline	onlpne	onlinea	onlixne
fav, fsv	jav	faw	favt	fyav	nav	favx	fapv	favq
keliye, keqiye	keliyf	keliyeh	keliyed
soon, soonb
khane, khanne	bhane	khanei	khaqe	khanbe	khage	khazne	khgane
imkanaat, ximkanaat	imkanaar	imkanaatv	imkanaats	imkanaaet	imkanqat
hall, hdall	hzall	hallz	hpll	xall	halzl	halpl	halli	vhall	halz
izafi, izwafi	izbafi	izafio	izlfi	itafi	izafji
giri, guri	tgiri	gdiri	girli	glri	agiri	giiri	girdi
aukat, aukpat	azukat	auhat	abukat	aukmat	aukoat	aukao
kitabon, kxtabon	iitabon	kritabon	kitabron	lkitabon	kitablon	kitabonh
model, mfdel	modnel
chalti, chyalti	ochalti	cwalti	chaltd	chafti	cdhalti	chvalti	cpalti	cholti	chaltij
while, wwile	whkle	ewhile	whilfe	wdhile	wohile	awhile
nsan, nsxn	nsvan	nsakn
ack, dack	acpk	acxk	kck	acw	ackr	acj	aci	actk
waqoof, waqovof	waqooi
awaami, rawaami	pawaami	aoaami	awaamiq	awaamt
arif, xrif	aiif	arof	ariuf	abif	arifo	ajif	aprif	aurif	ariqf
ayanat, ayanaqt	ayanpat	ayanawt	avyanat	ayanit	ayanatl
ujhy, ajhy	ujny	ujhjy
ola, olpa
jarurat, jarurath
week, wvek	weekp	weevk	wjeek	weok
achy, achz
chad, chcd	pchad	chadj	chadr	cuad	chadt	chsad	chqad
qurbani, qurbnai	qurbalni
chai, chapi	cnhai	chaia	chav	chaio	chjai	lhai	ceai	chyai
naqsh, najqsh	nqsh	najsh	wnaqsh	naqshn	naqsfh	naash	naqshy
botay, bcotay	botayt	botday	botaky	iotay	bobay
ele, elae	eple	gele	eleh	xle	elhe	elce	elg	bele
ome, omv	ohme	omye	omq	omde	omei
aulaad, aulaao	auclaad	aublaad	paulaad	aulaac	aoulaad	aulaady
khodna, ksodna	okhodna	khondna	khodoa
hoge, shoge	hofe	huoge	hosge	houge	hage	toge
takhayyul, talhayyul	ctakhayyul	takhayuyul	takuayyul	takhayayul
kary, kjry	vary	ksary	kapy	skary	katry	kwary	kaqy	kkry
history, eistory	historyx	histtory	hiastory	historf	histyry
hats, hfts	hgats	hajts	hrts	hazs	hatsh
amare, bmare	amarx	amaee	amlre	aoare	aimare	amarte	asmare	amjre	axare
lijiye, lijmiye	lijiyte	lzijiye	ylijiye	ljijiye	lijiwye	libiye	olijiye
king, zing	kixg	oking	kinp	kinag	kding	eking	kcng
unglio, ungolio	ungluio	ungclio	ungliko	dunglio
chhalang, chhaldang	chhaelang	choalang	chhnalang
akkaasi, akkaasiu	akekaasi	skkaasi	akkaani	axkkaasi
oht, oit	qht	ofht	ohmt	ohf	ohty	ohbt
msg, mskg
blog, bxog	bsog	bloag	fblog	blogn	blod
inglistan, ingljstan
pehly, pehlny	pehlya
soya, smoya	soyab	soyz	syya	soyja	soyr	solya
daku, dakub	faku	draku	zdaku	dku	dakn	daki	daksu	daktu
sifar, sifarm	sifaro	sifarj	ssifar	sifvar	sifaz	sifadr
saalgirah, saalgirth	saalgirrah	msaalgirah	saalgirdh	saaqgirah	saaluirah	saalgirqah	caalgirah	sjaalgirah	saalgicrah
ghoomnay, ghoomnsay	gbhoomnay	ghoomnaty	ghoormnay	ghowmnay	ghoomnayo	gjhoomnay	ghooknay	ghoodmnay
buut, buuh	buuta	buujt	buuti	buukt	buuft	bueut	bbuut	buutk	buuc
matter, mnatter	mattery	mathter	mattert	mattner
bona, abona	fona	bwona	boba	bhna	blona	rbona
beh, beqh	behu	qeh	bebh
saazish, saazisj	saazuish	dsaazish	qaazish	saayish	caazish
bahhar, bahrar	bahhars	bahhoar	baahhar	bazhar
tumse, tubse	txumse	tuvmse	tpumse	tumkse	tuqmse
future, fumure	futurm	fature	futyre	futurl	fture	furure	futqure	fcuture
uljha, uljya	uljoa	uleha	uljhaz	uwjha	uoljha
moazrat, moazra	mcazrat	moaztat	moazrast	emoazrat
akhaa, eakhaa	bakhaa	fkhaa	aikhaa	akhag
dp, mdp
kalaam, kalvaam	koalaam	kaulaam	kalavm	knalaam	kalaamw	kalqam	kalaham	tkalaam
jahannum, jahannumx	jahananum	jahannul	rjahannum	jahawnnum	jazhannum	jahanncum	jahannbum
hard, hardk	harv	hatrd
baais, bakis	baaii	baaiys	bajis	bavis	bhaais	bgaais	biais
kbi, kwbi	kbxi	kbin	kbdi	kxbi	kbc	kfbi
uje, ujc	ujev	ucje	upje	uhe	nuje
zabardasti, zdbardasti	zabardastdi	zabardisti	zbabardasti	zabxrdasti
fana, fanc
judge, jvudge	judgv	judgf
ajj, ajjq	ajp	rajj	pajj
esai, ecai	esaid	esad	esaei	esti	qsai	esax	exsai	espai
rape, rapeb	rkape	cape	racpe	raee	raps	rapje	bape
aani, aanj	aangi	akani	aanli	aaniq	aawni	aanai
ksi, jksi	ksri	ksib	kzi	ksix	ksis	kshi	ksei	ksiv	kss
uryaan, uryain	uryaaj
pahari, pahvri	pahanri
lz, lzf	glz	lzs	lzj	lzh	qlz	alz	lsz
larkiyon, tarkiyon	larkiaon	larkmiyon	sarkiyon
nathn, nasthn	wnathn	natfhn
chilka, chilkia	chilkga
che, chel	cle	cze	chc	yche
khutoot, khutootz	khutojt	kdhutoot	khutaoot
tara, taram	tajra	tqara	tarda	taxa	htara	tarca	tadra	taga	tmra
darj, darc	udarj	datj	jarj	ldarj	dvrj
khidmaat, khidmaaqt	khidwmaat
chhutkara, phhutkara	chhutyara	chhutkoara
jahazoo, jahazeo	uahazoo	jaohazoo	jahazol	jahazvoo
question, queqtion	quvstion	gquestion	questiuon	tquestion	qukestion	queotion	questionm
pemana, pemanae	pemna	pemanad	pemanl	pemanu	pexana
ikai, gkai	ikaiy	ikari	iksi	ikaai
course, coyurse	qcourse	rcourse	oourse
ghiry, vghiry	ghire	gthiry	ghyiry	ggiry	gniry
sabit, sqbit	sabitu
khasara, khasaia	khasada	chasara	khacara	okhasara	khmasara	khnasara	hhasara	khjsara
ahahaha, ahagaha	ahasaha	ahahahs
ruku, rruku
where, whnre	whehe	wheure	wdhere	rhere	whexe	wherej	xwhere	whre	wheret
phail, pqhail	pvail	phapil	phadil	phasl	phiil	hhail	sphail	phailt
mashriqi, mashriqzi	maishriqi	mashrmqi	uashriqi
avi, yvi	avn	cvi	xavi	avki	qavi	tvi	avie	bavi
jesa, jeswa
uper, uder	ugper	upzr	uxper	upeb	umper	udper	uzper	tper	upor
bashindon, bashindgon	blshindon	bashendon	bshindon	bjshindon	bashindofn	basuhindon	bavhindon	bashrindon
ume, umes	gume	umeq	vume	cume	umee	ugme
sunwai, psunwai	sunzwai	spnwai	sujnwai	sunwzai	ksunwai	sunwag
bax, barx	baix	brax	baxy	bkax	rbax	bqx	baox	babx	bagx
light, lxght
kyunki, ekyunki	kyynki	kyungki
shiddat, shwiddat	shifdat	shiddaf	shipddat	shxddat	shimdat	shivdat	shidxdat
jitne, jitnev	jitjne	jitnf
khule, kuule	khulke	kohule	khkule	khmule
paiir, paixir	psaiir	paiif	paeiir	pairi	padiir	paiixr	pcaiir	paiur	dpaiir
taied, tahed	tjaied	taiel	traied	tatied	taiod	taiead
steal, stewl	steald	stxeal	sqteal	setal	steam	stealq	stetl	skeal	steacl
khareed, khareted	khamreed	khareeld
aahan, taahan	abhan	aahkn
gang, gwang	gfang	gtang	gangv	gvang	eang	gdng	gakng
sse, svse	sswe	gsse	ssm	suse	ssk	sfe
ungli, uegli	unglip	yngli	unkli	uneli	tungli	unglk	unglie	unglni
green, ggreen	gveen
tareekhi, tbareekhi	pareekhi	tarvekhi	tareekqhi	taureekhi	tareekli	tareokhi
ade, adxe	yde	gde	alde
religion, rgligion	religiono	religmion	religioa
makes, makesv	moakes	mahes	mkkes	makek	makqes
khilari, khilarif
peeron, paeron	peerin	pezron	qpeeron	pheeron	pezeron	penron	peuron	peeuron	peesron
baithy, baithyb	baithvy
aiz, aize	akz
aqt, kqt	alqt	aqto	aqzt	aqtp	gqt	iaqt	aqxt	aqct
mal, mgl	mazl	makl	mbal	myl	maxl	mtal
skti, snkti	jskti	sktqi	skiti	skto	ssti	rkti	skjti	sktio	sktk
jhund, jhdnd	jhucnd	ejhund
darr, darrf	damrr	dasrr	ddarr
palang, salang	palnang
kilomitr, kilzmitr	kilomitir	kihlomitr	kilomrtr
league, leagaue	aleague	leasue	qleague	jleague	leagued	eleague	leagkue
bandh, bandhm	bandnh	bandsh
socho, socyo	sbcho
tanbeeh, tangeeh	tanbdeh	tanbeweh	uanbeeh	taunbeeh	tajbeeh
mang, maug	maog	manj	mantg	mmng	oang	mahg	mangh	mavng	mjng
muskuraya, muscuraya	muskunaya	muskuxaya	muskurayxa	muskurayat	muskurayta	mcskuraya	mutskuraya
proud, proudd	prfoud
kh, khw	zh	khv	kuh	khb	khr	khf	kth	tkh	fh
qehqeha, cehqeha	qehqeua	uehqeha
baithe, basithe	baither	baitkhe	baqthe	baifthe	baitze
amkan, amkvan	amkang	vmkan	amjkan	amkanx	amkay	amkana
aqsat, aqsrat
jante, qjante	japnte	jantt	jantea	jnnte	jantem	xante	jacte	jeante	jaznte
kaheen, xaheen	kadeen	kahren	kaheeun	kawheen	kaheejn	akheen
break, vbreak
ghaao, ghaho	gghaao	ghaago	ghaab	ghaaoa	ghaap
adal, idal	axdal	adals	adaz	adadl	adanl	azdal	vadal	apdal
islaah, islaax	iqlaah	ifslaah	islayh	issaah	islbaah	isalah
rahain, roahain	rdahain	rafhain	yahain	ranhain
feb, fteb	jfeb	fen	fxb	feg	frb	fekb
ghoom, shoom	ghooym	ghlom	gooom
kl, kcl
chooma, chjoma	ckooma	hooma	cvhooma	choboma	ghooma	chwooma	shooma
chairag, chaizag	chafirag	chawirag	charirag	chamrag	chaiyag	chairazg
karachi, karachqi	karfchi	kamrachi	karhchi	karachc	kkarachi
ife, gfe	ifle	itfe
afzaa, aqfzaa	hfzaa	afqaa	fzaa	afeaa	afnaa	afszaa	afzab
keechar, kxeechar	meechar	keeshar	keechlar	keecham
thela, thala	thewla	thcela	thely	tshela	thelap	thnela	thlea	thetla
taaruf, tparuf	taarufl	taaruif	taarwf	itaaruf	tzaaruf	traruf	tcaruf
khayi, khaoyi	khami	khaqyi	khasyi	khayci	hkhayi	khvayi	khayib	khayni
aram, arasm	acram	oaram	ayram
cake, lcake	cabe	caket	eake	cakex
already, alreadyu	alreacdy	alreadyq	alreldy
harf, hakrf	hrarf	hhrf	harlf	harfr	haxf	haerf	tharf
hukmaran, hukmaan	hukmiaran	hukmdaran	shukmaran	hgukmaran	hukmaaran
asban, asbcan	vsban	nasban
asraar, qasraar	asraari	easraar	amraar	asrwar	asrzar	asriar
bay, bsay	mbay
something, soqething	sbomething	somgething	sometching	somethipng	sozmething	somethrng	somethinwg	soumething	somejthing
feeling, feelkng	feelign	fekeling	fgeling	feeqling
phas, mphas	phays	mhas	phaxs
movies, movwes	movives	modvies	mocvies	movieu
rangeen, rangien	ranageen	rxangeen	rangeedn
haazir, uhaazir	haauir	haazirv	hapzir	halzir	haazirw	haczir	hakazir	hanzir	haazkir
umhe, ukmhe	umfe	uvmhe	hmhe	umuhe	umhne	umhet
parakhchay, parakhchaw	parakhchaey	phrakhchay
tig, ltig	tigz	kig	tiq
sure, kure	uure	msure
ibtida, ibtiqa	ibtidap	ibtiba	ibtidaj	ibstida	ibtioda	hbtida	ibxtida	jibtida
ravani, ravanih
pakhana, pakxhana	pakhmna	pamhana	pakhano	pankhana
taswerain, taswerdain	tasjwerain
koe, kyoe	koxe	jkoe	xkoe	moe	kcoe
rail, railr	railm	grail	drail
uchhal, uchjal	ichhal
tassadum, tasqadum	tassadim	yassadum
humesha, hcmesha	humeshaa
mayan, mayaxn	mhayan	maqyan	maymn	mayapn
yha, yhaf	yhz	qha	yhua	iyha	ykha	yhha
nabi, nakbi	navbi	nasbi	nabh	nabm	najbi	neabi	ngbi	napi
peecha, peegcha	pyecha	pegcha	pgecha	peecwa	peechp
pichlle, pichllre	pichlye
tarkeeb, tarkieb	tarkeek	tarkeebd	tarkweb	tarkdeb	tarkzeb	aarkeeb	txarkeeb
dance, daxce	dacne	dancze	pdance	dancea	ddnce	dynce	dancte
aunty, autnty	qaunty	audty	auntg	amnty	aunlty	auxty	kaunty
vision, visioni	visqon	vispon	vismon	viuion	vysion	vioion
bezari, bewzari	beaari	bezariq	bezaxri	bezbari	belari
lanat, lanaet	langat	lanvat	lxanat
intiqam, intiqas	intiqaim	intiqarm	intiqaf
jadi, jadiy	qjadi	uadi	jaui
zad, zadw	zbad	zgad	zmd	zayd	zaw	tad	zsd
kareem, kareemf	kareim	kareema	kazreem	qareem	kareyem
paap, paapa	pfaap	plaap	pahp	paiap	paapl	ppap	pyaap	iaap
tem, tefm	temm	teml	tkem	tqem
border, bordeir	boader	bordere	hborder	boruer	bkrder
ont, onf	ojt	qnt	vnt	aont
hoye, hoyey	hoyev
beautiful, beautifyl	beautgful	beputiful	beautifupl	beaputiful	btautiful	byautiful	beautifulb	beautifful	beyutiful
hadd, hadqd	hadda	huadd	hpadd	hjadd	hadl	hddd
rahein, ranein	rahegn	lrahein	rahezin
abar, abaa	aear	abxr	abary	aoar
charha, charhla	charhal	chavrha	chraha	icharha	chaurha	chazha
ish, isw
mohlik, mohlil	mohlisk	mnohlik	qohlik
double, vdouble	doublef	doutle	doiuble	souble	adouble	dkouble
insaf, insajf	pnsaf	xnsaf	hinsaf
asi, yasi	fsi	rsi	aui	asid	tasi	asip	absi
wasallam, wasamlam	wasdallam	wasallmam	wasatllam
puch, puwh	puchq	apuch	puckh	pucgh	pwch
jore, jory	jyore	jorke	jorne
chouti, chbouti	choluti	choutri	choutj	choutit
pazeer, paczeer	spazeer	pawzeer	pazeetr	apzeer	pazeerv	pazeern
joota, vjoota	joowta	jmota	jootaa	jodota	jootao	jootg
yes, yfs
tension, tenwion	tensilon	tenseion	tenshon	tensdion	thnsion	twension	tenssion	teknsion	jtension
phenka, puhenka
karon, karbn	kafron	hkaron	karoc	kareon	karone	ikaron	bkaron	karron	karsn
churee, rhuree	pchuree
degree, degrpee	degreu	dmgree	degreew	dezree	gdegree	dwegree	jdegree	ndegree	dewree
haqooq, haqojq	hapqooq
ogi, ogj	ogz	ogti	ogiq	ogdi	ojgi
kamaal, kamanal
plan, plsan	plaen	plon	plaj	pjan	dlan	pltan	fplan	plany	ploan
jazb, jaeb	jaazb	japb	jazv	jazjb
inda, inca	qnda	iuda	hinda	indqa	inxda	ihnda
eep, eaep	ecep	uep	eepg	eewp	yeep
hila, hilu	lhila	hiwa	hija	ihla	hilam	hrila	hilan	hili	hiaa
business, bupiness	ibusiness	businoss	businesus
maaon, maaoqn	mraaon	mayaon	maaonb	maaob	maaonl
las, lzas	lasy	lasv	llas	lrs	lask	lahs	lwas
maut, mact	mkut	mamt	mautt	mraut	mautz	mauto	wmaut
zaano, zaanoq	aaano	zawano
parents, parentg	yparents	parfents	parlents	parezts	parentbs	parenos	parentst
uskay, uskayt	uskeay	yuskay	usqkay	uskvy	uksay	uskqay	tuskay	ucskay
mazaq, mazayq	mpzaq	amzaq	mazac	rmazaq	moazaq	mazkaq	mazaw	nmazaq	mazrq
technology, technologe	technologw	tevchnology	techkology	technqology	technoology
farma, farga	fawma	farmga	farsa	falrma	farima
raish, raishu
indi, inpdi	invi	inoi	indq	tindi	windi	ixdi	intdi	hndi
pathon, pathin	pxthon	pathor
proof, progof	ptroof	prsof
bhee, bhel	bhef	bheeu	bhre	bhese	bwee	hbee	bheep
rahenge, rlahenge	rahenqe	rahvnge	rahrnge	rjahenge	rahegge	rahengex	rahvenge	radhenge	rahenle
aq, kaq	eaq	azq	aqo	nq	aqv	ajq	jq
anaa, aynaa	sanaa	cnaa	anfa	gnaa	anaaf	axnaa	adnaa	anaea	amnaa
kaayenaat, kaaysnaat	kaayenaaw	kaayenaal	rkaayenaat	kaayjenaat	kaayenaadt
hararat, hasarat	ahrarat	harzarat	hararzat	hararvat	hararatb	haracat
esy, emsy	edsy	esyq	esyu	ecy	esyo	eusy	esym	esyv	xesy
tameez, tamesz	tameec	tameqz	tamcez	tameuz
kaamil, kaaqil
safai, tsafai	lsafai	safaji	safaip	xafai	safjai	safaik	safaz	saftai	spafai
adna, adfna	adnwa	adnaw	kdna	adnw	amdna
ashaat, kashaat	asjaat	ashaatj	ashaatc	asshaat
those, thoge
paper, taper	pbper	papor	papeb	patper	ppper	papger	papeq
attack, atzack	attakc	atitack	attackd
liay, lijay	livay	liav
morhin, mohin	morhi	morthin	morlhin	morhni	morhdin
taqub, taaub	taqnub	taqubt	tuaqub
karnay, ikarnay
isne, isjne	isge	isqe
hii, shii	hiz	hfii	hiib	hpii	hiiv	hyii	hiyi	hxii	hlii
fariqain, fariqhain	fagriqain	fariwain	farliqain
shehad, shehadz	shvhad	sfehad	shehoad	ehehad
won, wson	rwon	wzon
asia, aesia
shehri, sheshri	shehrf	sgehri	sfehri	svhehri	shejhri	shehhi	shehrj
koshisho, kosfhisho	koshishok
steve, styeve	stdeve	sveve	stevn	stive
ishhq, ismhq	iahhq	ishahq	ishhxq
amlaak, amlaal	amlalak	amlabak	amlgaak	amlank	amlaakd	amplaak	amsaak
fight, figpt	zight
comments, commeunts	comnments
death, deagth	deatht	deaah	deatih	deathn
aai, aaq	faai	eai	yaai	aaui	axi	axai	azai	ayai	uaai
let, levt	lfet	letz	lez	lel	lte	leu
bap, lbap	bfap
dahi, dahpi	uahi	dajhi	dkahi	eahi
daini, dainri	daihi	uaini	daibi	darini	vaini
sawaar, sawaqar	jawaar	sawgar	sajwaar	sawaaer
daman, damfn	damanm	damanj	daran	dvaman	damjan	daoman
banta, baneta	bantqa	bantx	xbanta	vanta	barta	bantaz	bcnta	panta	bantak
arkaan, aakaan	arkaaq	arbkaan	arkavan	arkann	xarkaan	arkwan	trkaan	zarkaan
gandhi, sandhi	gandhki
mulki, mulpki	iulki	mulkt
khulasa, khulasu	khuglasa	khulaca	kaulasa	khusasa	krhulasa
aanah, aanaph	naanah	anah	aanak	aatnah	faanah	aahnah	aawnah
bhej, lbhej	nhej	bhfej	bhje	khej	bghej	tbhej	bhvej
mufeed, muefeed	mkufeed
khazana, khapzana	khazanah	khazanma	khazanaw
muttahid, muttahids	muttaahid	muttahird	musttahid	mquttahid	muttahik	mutwtahid	muutahid	muttahix	mwuttahid
someone, someonr	somekne	someonek	gomeone	somenne	someonoe	sohmeone	someosne
brother, hrother	ubrother	brhother	brotlher	brolther	brotther	bbrother
dey, bdey	dny	pdey	dep	dxy	dej	deyf	deyl
assembly, assembloy
agli, fgli	aagli	agvi	agzli	pgli	jgli
request, retuest	reqruest	rekuest	requxst	reuuest	riequest	requestp
taras, tarws	tarhas	turas	taraw	tgaras	tkaras	tayras	tarau	tarams
yaan, yatan	yaaon	yaaxn	yjan	yaal	yaae	yaaln	ypan	yaban
naazim, naaqzim	vnaazim	naazii	naaxzim	nzaazim	fnaazim	natazim
tund, trnd	thnd	utnd
humne, hcumne	humn	humnei
ms, rms	mts	hms	mq	msn	bms	msk	vms
nafsiati, naofsiati	nafsoiati	nayfsiati	nafsixti	nafsiakti	nkafsiati	nafsiaui	nafsirti	nafusiati
aji, faji	ajq	ajui	acji	yji	aoi
ehtijaj, ehtijajo	ehtijaij	ephtijaj	ehtijjaj	ehtijaz	ehtijxaj
fghanistan, fghaniptan	fghacistan	fgdanistan	fghanistanr
uri, ujri	huri	urei	uriq	uir	uriv	urfi	urj
terrorist, tebrrorist	terrormist	terromist	terrorilt	terroristh	terroristi
artania, armania	artaaia	artanga	aqtania
month, montr	wonth	aonth	monthn	moeth	myonth	munth	mosnth
doob, doobv	doab	doxb	dpob	qoob	adoob	doobg	dool
mashq, uashq	mbashq	mafshq	mashy	mmshq
lift, lxift	plift	lilt	liuft	lwift	mlift	liift
masht, masfht	mashy	macsht	mashk	massht	mashgt	mahht	mgasht	masoht
mutmaen, mfutmaen	mutmaebn	yutmaen	mutmawn	multmaen	mutmaez	mutmwaen	mutmmen	muctmaen	mutmaenq
janam, jacam	janao	janaq	janamp	junam	janmm	janams	janamu	fanam	javam
bahir, bahirp	bashir	gahir	baohir	bahwr	banhir	cbahir	bahii	bahtir
mohazab, mohazap	moohazab	mohazaxb	mgohazab	mohazabh	mohazas
china, chioa	hchina	cqina
mujy, nmujy	gujy
azaadi, yzaadi	azaadio	azaodi	azsaadi	mzaadi	azadai	azandi	azaai
maheman, mlaheman	mahetman	mmaheman	mjaheman	mahman	mahheman	maheaan	mahaman	mahemakn	maoeman
nsar, nsaqr	nyar	jsar	nsagr	nskar
nggak, wggak	nsgak
niklny, nizlny	nikany	niklnyn	naklny	nikleny	nijklny
jarr, jaarr	jahr	jartr	jazr	jwarr	jawrr
chhin, tchhin	chqhin	achhin	chhinr	chhiq	whhin	chhein
nataij, natgaij	nartaij	nataiji	nataijh
chhutti, chthutti	chhbtti
atta, attl	attau	etta	fatta	jatta
dhyan, dhyanj	nhyan	dhlan	dhjan	dhyen	dhyadn
paash, paaskh	paashc	paashh	paagsh	ipaash	paashy	pqash	paasmh
haa, xhaa	iaa	haia	haab	hxaa
parosi, parosiy
bulaya, bulfaya	bulkya	bulzya	bulayca	bulaaya	blaya	buaya	bulayae	bulafa	bulada
misbet, miksbet	misebet	misdet	misbht	misbset	misbel	iisbet	mqsbet	misbeet
products, producws	produlcts	pvroducts	produjcts	prkoducts
sth, fth	srth
giroh, girzoh	gviroh
bakhair, jbakhair	bakohair	bakxhair
janti, jantsi	jadti	jantic	janmti	jafti	jcanti
harti, nharti	harwti	hartui	hlrti	hnarti	hartki	hirti
ishtial, ilshtial	kshtial	ishtyal
ufaq, ufaqy
jisne, jiune	jnsne
daraaz, davraaz	daragaz	daraaiz	daraas	daraazf
alik, aliw	alqik	alwik	afik	alie	aliok	zalik	alvik	alio
maryam, rmaryam	maryadm	maryajm	moryam	mawryam
rawayya, rawayypa	rayayya	rawayqa	rawafyya	rawayyas
dafa, dafat	wdafa	dafha	dgafa	damfa	dafca	daofa	gdafa
yonani, yenani	yonanio	yanani	ytonani	conani	yonanfi	yonanyi	yonpani	yonayni
isha, ispa	ishay
rdu, rdtu	rdui	pdu	zrdu	rlu	rdh	rdua	gdu
youd, yolud	yroud	zyoud	ywud	ymoud	yjoud	ypud	youq	yougd	ygoud
bakhabar, bakhabsr	bakhabkr	bakhfbar
